statefip,puma,mpop2000,pumapop2000,mpopshare2000,metropuma03,mpop2010,pumapop2010,mpopshare2010,metropuma13
6,9502,126603,126603,1,1,138815,138815,1,1
6,9503,121090,121090,1,1,129691,129691,1,1
6,9701,177541,177541,1,1,179083,179083,1,1
6,9702,115251,115251,1,1,120153,120153,1,1
6,9703,165822,165822,1,1,184642,184642,1,1
6,9901,88346,88346,1,1,113557,113557,1,1
6,9902,116602,116602,1,1,118448,118448,1,1
6,9903,143778,143778,1,1,174119,174119,1,1
6,9904,98271,98271,1,1,108329,108329,1,1
6,10100,139150,139150,1,1,166892,166892,1,1
6,10701,105125,105125,1,1,135978,135978,1,1
6,10702,123963,123963,1,1,149481,149481,1,1
6,10703,138933,138933,1,1,156720,156720,1,1
6,11101,102038,102038,1,1,113229,113229,1,1
6,11102,140519,140519,1,1,150075,150075,1,1
6,11103,173247,173247,1,1,195386,195386,1,1
6,11104,109357,109357,1,1,119372,119372,1,1
6,11105,116052,116052,1,1,119708,119708,1,1
6,11106,112293,112293,1,1,125548,125548,1,1
6,11300,168660,168660,1,1,200849,200849,1,1
8,100,7140,106276,0.0671836,0,8560,110399,0.0775369,0
8,102,93794,93794,1,1,115164,115164,1,1
8,103,157700,157700,1,1,184466,184466,1,1
8,200,0,82651,0,0,0,100359,0,0
8,300,132981,132981,1,1,172967,172967,1,1
8,400,0,94098,0,0,0,113576,0,0
8,600,18433,100001,0.1843305,0,20867,103776,0.2010773,0
8,700,133973,133973,1,1,150830,150830,1,1
8,800,3588,104296,0.0344002,0,3572,100276,0.0356217,0
8,801,97653,97653,1,1,101056,101056,1,1
8,802,110076,110076,1,1,154539,154539,1,1
8,803,111379,111379,1,1,113853,113853,1,1
8,804,115894,115894,1,1,140132,140132,1,1
8,805,105969,105969,1,1,117899,117899,1,1
8,806,110689,110689,1,1,135704,135704,1,1
8,807,101408,101408,1,1,151662,151662,1,1
8,808,82681,82681,1,1,108362,108362,1,1
8,809,103816,103816,1,1,112827,112827,1,1
8,810,113602,113602,1,1,112878,112878,1,1
8,811,102930,102930,1,1,110222,110222,1,1
8,812,113952,113952,1,1,151191,151191,1,1
8,813,103543,103543,1,1,100124,100124,1,1
8,814,100910,100910,1,1,102044,102044,1,1
8,815,142393,142393,1,1,154017,154017,1,1
